name_of_site,url,org_code
سازمان هواشناسی کشور,https://irimo.ir,سازمان هواشناسی کشور
سازمان راهداری و حمل و نقل جاده‌ای,https://rmto.ir,سازمان راهداری و حمل و نقل جاده‌ای
شرکت شهر فرودگاهی امام خمینی,https://ikac.ir,شرکت شهر فرودگاهی امام خمینی (ره)
شرکت آزمایشگاه فنی و مکانیک خاک,https://tsml.ir,شرکت آزمایشگاه فنی و مکانیک خاک
شرکت عمران شهرهای جدید,https://ntdc.ir,شرکت مادرتخصصی عمران شهرهای جدید
شرکت هواپیمایی جمهوری اسلامی ایران (هما),https://iranair.com,شرکت هواپیمایی جمهوری اسلامی ایران (هما)
وزارت راه و شهرسازی,https://mrud.ir,وزارت راه و شهرسازی
شرکت راه‌آهن جمهوری اسلامی ایران,https://rai.ir,شرکت راه‌آهن جمهوری اسلامی ایران
شرکت بازآفرینی شهری ایران,https://udrc.ir,شرکت بازآفرینی شهری ایران
مرکز تحقیقات راه مسکن و شهرسازی,https://bhrc.ac.ir,مرکز تحقیقات راه، مسکن و شهرسازی
سازمان نظام مهندسی ساختمان,https://irceo.ir,سازمان نظام مهندسی ساختمان
صندوق بازنشستگی کشوری,https://cspf.ir,صندوق بازنشستگی کشوری
سازمان بهزیستی کشور,https://behzisti.ir,معاونت علمی و فناوری ریاست جمهوری
سازمان آموزش فنی و حرفه‌ای کشور,https://irantvto.ir,سازمان آموزش فنی و حرفه‌ای کشور
سازمان تامین اجتماعی,https://tamin.ir,سازمان تامین اجتماعی
وزارت تعاون کار و رفاه اجتماعی,https://mcls.gov.ir,وزارت تعاون، کار و رفاه اجتماعی
وزارت جهاد کشاورزی,https://maj.ir,وزارت جهاد کشاورزی
صندوق بیمه محصولات کشاورزی,https://sbkiran.ir,صندوق بیمه محصولات کشاورزی
سازمان امور عشایر ایران,https://ashayer.ir,سازمان امور عشایر ایران
سازمان امور اراضی کشور,https://laoi.ir,سازمان امور اراضی کشور
سازمان چای کشور,https://irantea.org,سازمان چای کشور
سازمان تحقیقات آموزش و ترویج کشاورزی,https://areeo.ac.ir,سازمان تحقیقات، آموزش و ترویج کشاورزی
سازمان تعاون روستایی کشور,https://corc.ir,سازمان تعاون روستایی کشور
سازمان شیلات ایران,https://shilat.com,سازمان شیلات ایران
سازمان دامپزشکی کشور,https://ivo.ir,سازمان دامپزشکی کشور
سازمان حفظ نباتات کشور,https://ppo.ir,سازمان حفظ نباتات کشور
شرکت خدمات کشاورزی,https://agriserv.ir,شرکت خدمات کشاورزی
سازمان منابع طبیعی و آبخیزداری کشور,https://frw.ir,سازمان منابع طبیعی و آبخیزداری کشور
شرکت پشتیبانی امور دام کشور,https://iranslal.com,شرکت پشتیبانی امور دام کشور
شرکت بازرگانی دولتی ایران,https://gtc.ir,شرکت بازرگانی دولتی ایران
شرکت خدمات حمایتی کشاورزی,https://assc.ir,شرکت خدمات حمایتی کشاورزی
سازمان امور مالیاتی کشور,https://tax.gov.ir,سازمان امور مالیاتی کشور
سازمان بورس و اوراق بهادار,https://seo.ir,سازمان بورس و اوراق بهادار
سازمان خصوصی سازی کشور,https://ipo.ir,سازمان خصوصی‌سازی کشور
شرکت سهامی بیمه ایران,https://iraninsurance.ir,شرکت سهامی بیمه ایران
بیمه مرکزی جمهوری اسلامی ایران,https://centinsur.ir,بیمه مرکزی جمهوری اسلامی ایران
گمرک جمهوری اسلامی ایران,https://irica.ir,گمرک جمهوری اسلامی ایران
وزارت امور اقتصادی و دارایی,https://mefa.ir,وزارت امور اقتصادی و دارایی
صندوق تامین خسارت‌های بدنی,https://biif.ir,صندوق تامین خسارت‌های بدنی
کانون پرورش فکری کودکان و نوجوانان,https://kpf.ir,کانون پرورش فکری کودکان و نوجوانان
سازمان آموزش و پرورش استثنائی کشور,https://medu.gov.ir,وزارت آموزش و پرورش
سازمان نهضت سوادآموزی,https://lmo.gov.ir,سازمان نهضت سوادآموزی
سازمان حج و زیارت,https://haj.ir,سازمان حج و زیارت
سازمان اوقاف و امور خیریه,https://oghaf.ir,سازمان اوقاف و امور خیریه
وزارت فرهنگ و ارشاد اسلامی,https://farhang.gov.ir,وزارت فرهنگ و ارشاد اسلامی
نهاد کتابخانه‌های عمومی کشور,https://iranpl.ir,نهاد کتابخانه‌های عمومی کشور
وزارت بهداشت درمان و آموزش پزشکی,https://behdasht.gov.ir,وزارت بهداشت، درمان و آموزش پزشکی
انستیتو پاستور ایران,https://fa.pasteur.ac.ir,انستیتو پاستور ایران
سازمان اورژانس کشور,https://115.ir,سازمان اورژانس کشور
سازمان انتقال خون ایران,https://ibto.ir,سازمان انتقال خون ایران
سازمان غذا و دارو,https://fda.gov.ir,سازمان غذا و دارو
مرکز تحقیقات حلال ایران,https://research.halal.ac.ir,مرکز ملی تحقیقات حلال ایران
صندوق رفاه دانشجویان وزارت بهداشت,https://srd.ir,صندوق رفاه دانشجویان وزارت بهداشت
سازمان بیمه سلامت ایران,https://ihio.gov.ir,سازمان بیمه سلامت ایران
معاونت علمی و اقتصاد دانش بنیان ریاست جمهوری,https://president.ir,ریاست جمهوری
مرکز ملی رقابت,https://nicc.gov.ir,مرکز ملی رقابت
شرکت توانیر,https://tavanir.org.ir,شرکت توانیر
سازمان انرژی‌های تجدیدپذیر و بهره‌وری انرژی برق (ساتبا),https://satba.gov.ir,سازمان انرژی‌های تجدیدپذیر و بهره‌وری انرژی برق (ساتبا)
شرکت مدیریت منابع آب ایران,https://wrm.ir,شرکت مدیریت منابع آب ایران
شرکت مهندسی آب و فاضلاب کشور,https://moe.gov.ir,وزارت نیرو
کمیته امداد امام خمینی,https://emdad.ir,کمیته امداد امام خمینی (ره)
وزارت امور خارجه,https://mfa.gov.ir,وزارت امور خارجه
شرکت ارتباطات زیرساخت,https://tic.ir,شرکت ارتباطات زیرساخت
شرکت ملی پست جمهوری اسلامی ایران,https://post.ir,شرکت ملی پست جمهوری اسلامی ایران
وزارت ارتباطات و فناوری اطلاعات,https://ict.gov.ir,وزارت ارتباطات و فناوری اطلاعات
شرکت خدمات هوایی و منطقه ویژه اقتصادی پیام,https://pasc.ir,شرکت خدمات هوایی و منطقه ویژه اقتصادی پیام
سازمان فناوری اطلاعات ایران,https://ito.gov.ir,سازمان فناوری اطلاعات ایران
سازمان فضایی ایران,https://isa.ir,سازمان فضایی ایران
پژوهشگاه فضایی ایران,https://es.isrc.ac.ir,پژوهشگاه فضایی ایران
سازمان تنظیم مقررات و ارتباطات رادیویی,https://cra.ir,سازمان تنظیم مقررات و ارتباطات رادیویی
پژوهشگاه ارتباطات و فناوری اطلاعات,https://itrc.ac.ir,پژوهشگاه ارتباطات و فناوری اطلاعات
وزارت میراث فرهنگی صنایع دستی و گردشگری,https://mcth.ir,وزارت میراث فرهنگی، گردشگری و صنایع دستی
سازمان مناطق آزاد,https://freezones.ir,سازمان مناطق آزاد
صندوق توسعه صنایع دریایی,https://imf.ir,صندوق توسعه صنایع دریایی
سازمان صنایع کوچک و شهرک‌های صنعتی ایران,https://isipo.ir,سازمان صنایع کوچک و شهرک‌های صنعتی ایران
سازمان زمین‌شناسی و اکتشافات معدنی کشور,https://gsi.ir,سازمان زمین‌شناسی و اکتشافات معدنی کشور
صندوق ضمانت سرمایه‌گذاری صنایع کوچک,https://zemanat.sif.ir,صندوق ضمانت سرمایه‌گذاری صنایع کوچک
سازمان توسعه و نوسازی معادن و صنایع معدنی (ایمیدرو),https://idea.imidro.gov.ir,سازمان توسعه و نوسازی معادن و صنایع معدنی ایران (ایمیدرو)
سازمان حمایت مصرف‌کنندگان و تولیدکنندگان,https://cppo.ir,سازمان حمایت مصرف‌کنندگان و تولیدکنندگان
مرکز توسعه تجارت الکترونیکی,https://sw.ecommerce.gov.ir,مرکز توسعه تجارت الکترونیکی
وزارت صنعت معدن و تجارت,https://mimt.gov.ir,وزارت صنعت، معدن و تجارت
صندوق ضمانت صادرات ایران,https://egfi.ir,صندوق ضمانت صادرات ایران
شرکت سهامی نمایشگاه‌های بین‌المللی ایران,https://iranfair.com,شرکت سهامی نمایشگاه‌های بین‌المللی ایران
سازمان ثبت احوال کشور,https://sahim.sabteahval.ir,سازمان ثبت احوال کشور
وزارت کشور,https://moi.ir,وزارت کشور
شرکت ملی صنایع پتروشیمی,https://nipc.ir,شرکت ملی صنایع پتروشیمی
وزارت نفت,https://mop.ir,وزارت نفت
پژوهشگاه صنعت نفت,https://ripi.ir,پژوهشگاه صنعت نفت
شرکت ملی پخش فرآورده‌های نفتی ایران,https://niopdc.ir,شرکت ملی پخش فرآورده‌های نفتی ایران
شرکت ملی پالایش و پخش فرآورده‌های نفتی,https://niordc.ir,شرکت ملی پالایش و پخش فرآورده‌های نفتی
شرکت ملی گاز ایران,https://nigc.ir,شرکت ملی گاز ایران
جمعیت هلال احمر جمهوری اسلامی ایران,https://rcs.ir,جمعیت هلال احمر جمهوری اسلامی ایران
سازمان پژوهش‌های علمی و صنعتی ایران,https://irost.org,سازمان پژوهش‌های علمی و صنعتی ایران
مرکز تحقیقات سیاست علمی کشور,https://nrisp.ac.ir,مرکز تحقیقات سیاست علمی کشور
سازمان سنجش آموزش کشور,https://sanjesh.org,سازمان سنجش آموزش کشور
پژوهشگاه علوم و فناوری اطلاعات ایران (ایرانداک),https://irandoc.ac.ir,پژوهشگاه علوم و فناوری اطلاعات ایران (ایرانداک)
وزارت علوم تحقیقات و فناوری,https://msrt.ir,وزارت علوم، تحقیقات و فناوری
صندوق رفاه دانشجویان وزارت علوم,https://swf.ir,صندوق رفاه دانشجویان وزارت علوم
سازمان امور دانشجویان,https://saorg.ir,سازمان امور دانشجویان
موزه علم و فناوری ایران,https://inmost.ir,موزه علم و فناوری ایران
وزارت ورزش و جوانان,https://msy.gov.ir,وزارت ورزش و جوانان
سازمان نظام پزشکی کشور,https://irimc.org,سازمان نظام پزشکی کشور
سامانه مدیریت سوخت اصناف کشور,https://sookht.iranianasnaf.ir,اتاق اصناف ایران
