name_of_site,url,org_code
نمایشگاه‌های بین المللی ایران حقوقی,https://sso.iranfair.com/hoghoghi,شرکت سهامی نمایشگاه‌های بین‌المللی ایران
سازمان مناطق آزاد,https://sso.freezones.ir/Member/MyGovLoginRedirect,سازمان مناطق آزاد
وزارت دادگستری,https://moj.gov.ir/fa/page/39/,وزارت دادگستری
وزارت علوم تحقیقات و فناوری,https://sso.msrt.ir/ApiContainer.SSO.RCL1/External/CallBack,وزارت علوم، تحقیقات و فناوری
وزارت فرهنگ و ارشاد اسلامی حقوقی,https://my.farhang.gov.ir/ssoHoghoghi,وزارت فرهنگ و ارشاد اسلامی
وزارت فرهنگ و ارشاد اسلامی حقیقی,https://my.farhang.gov.ir/ssoHaghighi,وزارت فرهنگ و ارشاد اسلامی
وزارت کشور,https://pwakeshvar.moi.ir/login,وزارت کشور
وزارت ورزش و جوانان حقوقی,https://sso.msy.gov.ir/sso/company,وزارت ورزش و جوانان
وزارت ورزش و جوانان حقیقی,https://sso.msy.gov.ir/sso,وزارت ورزش و جوانان
شرکت ملی پست,https://my.post.ir/identity/sso,شرکت ملی پست جمهوری اسلامی ایران
وزارت نیرو حقوقی,https://ekhedmat.moe.gov.ir/legal/redirect_url,وزارت نیرو
سازمان آموزش فنی و حرفه‌ای کشور,https://portaltvto.com/sso,سازمان آموزش فنی و حرفه‌ای کشور
صندوق رفاه دانشجویان,https://portal.srd.ir,صندوق رفاه دانشجویان وزارت بهداشت
بانک توسعه تعاون,https://ttbank.ir/sso,بانک توسعه تعاون
بانک قرض الحسنه مهر ایران,https://gov.qmb.ir/SSO,بانک قرض‌الحسنه مهر ایران
بانک مسکن,https://ecounter.bank-maskan.ir/sso-natural,بانک مسکن
سازمان بهزیستی,https://sam.behzisti.net/completeRegistration,سازمان بهزیستی
سازمان ثبت اسناد و املاک کشور,https://my.ssaa.ir/portal,سازمان ثبت اسناد و املاک کشور
وزارت کشاورزی حقوقی,https://sso.maj.ir/hoghoghi.aspx,وزارت جهاد کشاورزی
